minutes,cond_uS_cm,nh4_ugL,srp_ugL
0.25,177.3,25.12,9.26
0.5,178.01,25.11,8.54
0.75,177.1,24.86,9.15
1.0,176.27,25.31,9.82
1.25,176.36,25.14,8.88
1.5,174.17,25.51,10.03
1.75,176.31,25.81,9.95
2.0,177.4,27.02,10.53
2.25,186.12,29.51,11.43
2.5,195.27,34.15,12.03
2.75,210.13,36.32,13.02
3.0,227.97,42.8,16.88
3.25,253.31,49.29,19.31
3.5,279.13,58.18,21.45
3.75,311.45,67.42,24.81
4.0,344.9,75.85,27.73
4.25,378.03,83.11,30.3
4.5,413.79,92.31,34.71
4.75,445.79,99.82,36.85
5.0,480.42,109.61,39.67
5.25,510.06,116.44,41.15
5.5,534.52,124.44,43.54
5.75,558.81,129.83,46.28
6.0,579.85,135.59,49.53
6.25,596.4,138.92,49.76
6.5,607.82,144.5,51.19
6.75,618.46,147.39,52.29
7.0,624.63,146.92,53.05
7.25,627.64,151.09,54.89
7.5,628.78,151.95,54.87
7.75,627.98,153.07,55.21
8.0,621.0,152.95,55.36
8.25,617.16,151.28,56.07
8.5,606.93,151.96,54.92
8.75,596.86,147.46,54.41
9.0,588.0,147.73,54.32
9.25,571.18,145.43,53.64
9.5,560.24,141.51,52.65
9.75,549.17,138.36,51.63
10.0,534.43,136.15,50.79
10.25,518.26,132.25,50.14
10.5,501.83,131.43,49.05
10.75,491.07,127.52,48.7
11.0,471.84,123.75,47.11
11.25,460.68,118.67,46.35
11.5,444.66,118.81,45.1
11.75,429.63,113.14,43.0
12.0,415.73,110.11,43.51
12.25,401.04,107.3,40.59
12.5,387.96,103.9,40.66
12.75,377.24,100.27,38.57
13.0,363.56,97.65,38.27
13.25,350.12,95.16,36.98
13.5,340.21,92.21,36.16
13.75,328.59,90.14,34.92
14.0,317.22,84.94,34.51
14.25,307.5,82.51,33.35
14.5,296.99,77.25,31.91
14.75,288.57,75.77,31.23
15.0,280.15,72.73,30.12
15.25,270.73,69.65,29.17
15.5,262.88,68.01,28.32
15.75,255.88,65.84,27.39
16.0,249.26,63.41,26.55
16.25,241.17,64.49,24.62
16.5,235.48,59.55,24.71
16.75,230.74,57.84,25.13
17.0,222.08,56.28,23.03
17.25,216.25,54.09,22.43
17.5,212.08,49.9,22.89
17.75,206.69,52.41,20.72
18.0,202.56,52.31,20.16
18.25,195.99,46.64,20.22
18.5,194.44,47.14,19.27
18.75,187.75,43.79,19.45
19.0,186.51,40.72,18.27
19.25,184.11,43.87,18.04
19.5,179.49,38.89,16.83
19.75,176.05,39.59,17.06
20.0,172.47,36.6,15.92
20.25,168.88,37.45,14.7
20.5,167.24,36.17,16.19
20.75,165.25,35.76,14.82
21.0,161.94,32.94,15.38
21.25,161.83,33.28,15.91
21.5,158.52,32.54,14.03
21.75,156.34,33.55,14.28
22.0,153.08,29.75,13.4
22.25,153.96,27.93,11.74
22.5,149.09,28.6,12.51
22.75,150.25,27.12,11.65
23.0,145.95,27.65,12.16
23.25,148.19,27.52,11.61
23.5,147.32,25.88,11.11
23.75,143.85,24.8,10.11
