file,site,category,caption,year,credit
01-travertine-cascade.jpg,,Landscapes,Travertine cascade in a karst headwater stream,,Kauan Fonseca
03-travertine-falls.jpg,,Landscapes,Actively precipitating tufa barrier,,Kauan Fonseca
04-ilha-grande-mae-dagua.jpg,,Landscapes,Rock-coated streambed,,Kauan Fonseca
05-gallery-forest-stream.jpg,,Landscapes,"Gallery-forest stream, Cerrado",,Kauan Fonseca
06-sand-bed-stream.jpg,,Landscapes,Shallow sand-bed reach with butterflies ,,Kauan Fonseca
07-mossy-boulder-stream.jpg,,Landscapes,"Boulder-step stream, Atlantic Forest",,Kauan Fonseca
08-fish-school.jpg,,Organisms,Fish school of Piraputangas (Brycon hilarii) in a clearwater reach,,Kauan Fonseca
09-freshwater-crab.jpg,,Organisms,Freshwater shrimp Macrobrachium orfesii,,Kauan Fonseca
10-snail-in-hand.jpg,,Organisms,Freshwater mussel in a Cerrado travertine stream,,Kauan Fonseca
11-metabolism-chamber.jpg,,Fieldwork,Benthic chamber measuring Macrobrachium orfesii respiration,,Kauan Fonseca
12-chamber-deployment.jpg,,Fieldwork,Chamber incubation in the streambed measuring photosynthesis of periphyton,,Kauan Fonseca
13-stream-sampling.jpg,,Fieldwork,Sampling campaign,,Kauan Fonseca
14-cerrado-sunset.jpg,,Landscapes,"End of a field day, Cerrado",,Kauan Fonseca
15-orchid.jpg,,Organisms,Riparian orchid,,Kauan Fonseca
16-nutrient-samples.jpg,,Fieldwork,"Filtered aliquots for alkalinity, ammonium and total nutrients, chilling in a snowbank",,Kauan Fonseca
17-travertine-steps.jpg,,Landscapes,Stepped travertine barriers in a headwater reach,,Kauan Fonseca
18-travertine-terraces.jpg,,Landscapes,Moss-covered travertine terraces,,Kauan Fonseca
19-karst-waterfall.jpg,,Landscapes,Waterfall over a tufa barrier,,Kauan Fonseca
20-carbonate-bed.jpg,,Landscapes,"Coated bedrock under clear water, Atlantic Forest stream",,Kauan Fonseca
21-cobble-reach.jpg,,Landscapes,Cobble reach in a Cerrado stream during the dry season,,Kauan Fonseca
23-boulder-stream.jpg,,Landscapes,"Boulder-step stream, Atlantic Forest",,Kauan Fonseca
24-fish-sample.jpg,,Organisms,Fish sampled ,,Kauan Fonseca
26-fish-assemblage.jpg,,Organisms,"Part of a reach fish assemblage, sorted by taxon",,Kauan Fonseca
27-armoured-catfish.jpg,,Organisms,"Armoured catfish, a grazer on travertine crusts",,Kauan Fonseca
28-excretion-incubation.jpg,,Fieldwork,Excretion incubation in a bag of filtered stream water,,Kauan Fonseca
29-chamber-array.jpg,,Fieldwork,Nutrient-diffusing substrata deployed in a karst stream,,Kauan Fonseca
31-sample-filtering.jpg,,Fieldwork,Filtering a periphyton sample,,Kauan Fonseca
32-electrofishing.jpg,,Fieldwork,Backpack survey of the fish assemblage,,Kauan Fonseca
